Timestamp,Milliseconds,X,Y,Z,cos,headingAccuracy
2020-06-22 11:44:39,6300,0.29224205,0.7207449,0.5323834,0.33419955,0.0
2020-06-22 11:44:39,6400,0.2644029,0.7325083,0.5096571,0.36574906,0.0
2020-06-22 11:44:39,6500,0.22828576,0.74470425,0.4723021,0.41259173,0.0
2020-06-22 11:44:39,6601,0.17737238,0.7566837,0.41622224,0.47194058,0.0
2020-06-22 11:44:39,6700,0.09527557,0.76398736,0.3380924,0.5412388,0.0
2020-06-22 11:44:39,6801,-0.012758372,0.8590835,0.25932348,0.44109428,0.0
2020-06-22 11:44:39,6900,0.044209927,0.84180164,0.2906386,0.45270815,0.0
2020-06-22 11:44:39,7001,0.07340587,0.8176314,0.28242892,0.49631068,0.0
2020-06-22 11:44:40,7100,0.042601936,0.835026,0.24617901,0.4902168,0.0
2020-06-22 11:44:40,7200,0.05340044,0.84630007,0.24690339,0.46900246,0.0
2020-06-22 11:44:40,7300,0.056734458,0.85214525,0.24569157,0.458547,0.0
2020-06-22 11:44:40,7401,0.061341688,0.852004,0.24641225,0.45782903,0.0
2020-06-22 11:44:40,7500,0.061434183,0.8527688,0.24431705,0.45751548,0.0
2020-06-22 11:44:40,7600,0.062327728,0.8526113,0.24394454,0.45788676,0.0
2020-06-22 11:44:40,7701,0.06359605,0.8522852,0.24341331,0.45860156,0.0
2020-06-22 11:44:40,7800,0.06426051,0.85212916,0.24297151,0.459033,0.0
2020-06-22 11:44:40,7900,0.064923264,0.8519352,0.2423122,0.4596479,0.0
2020-06-22 11:44:40,8000,0.065162234,0.8520317,0.24174628,0.45973313,0.0
2020-06-22 11:44:41,8101,0.065835975,0.8518405,0.24116135,0.46029833,0.0
2020-06-22 11:44:41,8200,0.06604086,0.8515988,0.24082382,0.46089262,0.0
2020-06-22 11:44:41,8300,0.066308185,0.8514065,0.24048476,0.46138626,0.0
2020-06-22 11:44:41,8401,0.06688252,0.85116684,0.24000621,0.46199432,0.0
2020-06-22 11:44:41,8500,0.06704551,0.8510005,0.23965263,0.4624605,0.0
2020-06-22 11:44:41,8600,0.067146964,0.85081357,0.23943177,0.46290383,0.0
2020-06-22 11:44:41,8701,0.067397825,0.8506866,0.2391013,0.4632714,0.0
2020-06-22 11:44:41,8800,0.067651905,0.85047376,0.23881234,0.46377388,0.0
2020-06-22 11:44:41,8900,0.0676365,0.85031056,0.23852299,0.46422407,0.0
2020-06-22 11:44:41,9001,0.0680599,0.85022837,0.23829493,0.46442986,0.0
2020-06-22 11:44:42,9100,0.06819305,0.8502624,0.23814224,0.4644263,0.0
2020-06-22 11:44:42,9200,0.06832007,0.850151,0.23800802,0.46468028,0.0
2020-06-22 11:44:42,9300,0.06859101,0.85002464,0.23778328,0.46498656,0.0
2020-06-22 11:44:42,9401,0.06873184,0.84989095,0.2375904,0.46530867,0.0
2020-06-22 11:44:42,9500,0.06885404,0.8497686,0.23742588,0.46559793,0.0
2020-06-22 11:44:42,9600,0.06891299,0.8496497,0.2372996,0.4658704,0.0
2020-06-22 11:44:42,9700,0.069013245,0.8495198,0.23712285,0.4661824,0.0
2020-06-22 11:44:42,9801,0.06918851,0.8493873,0.23692273,0.4664995,0.0
2020-06-22 11:44:42,9900,0.06932533,0.8492583,0.23675728,0.46679795,0.0
2020-06-22 11:44:42,10000,0.06942173,0.849149,0.2365668,0.46707892,0.0
2020-06-22 11:44:43,10100,0.06941206,0.8490644,0.23640394,0.4673166,0.0
2020-06-22 11:44:43,10201,0.06950617,0.8489164,0.2362441,0.4676521,0.0
2020-06-22 11:44:43,10300,0.06966516,0.8488321,0.23599318,0.46790817,0.0
2020-06-22 11:44:43,10401,0.06970927,0.84872633,0.23581731,0.46818203,0.0
2020-06-22 11:44:43,10500,0.06984723,0.84862155,0.23561008,0.46845567,0.0
2020-06-22 11:44:43,10600,0.06998996,0.84853834,0.23538992,0.4686957,0.0
2020-06-22 11:44:43,10700,0.07009398,0.8484452,0.2352637,0.46891215,0.0
2020-06-22 11:44:43,10801,0.0700894,0.8483452,0.23514758,0.46915188,0.0
2020-06-22 11:44:43,10900,0.070130974,0.8482869,0.23498376,0.46933308,0.0
2020-06-22 11:44:43,11000,0.070224695,0.84821,0.23482858,0.4695358,0.0
2020-06-22 11:44:44,11100,0.07036667,0.8481065,0.2346902,0.46977052,0.0
2020-06-22 11:44:44,11201,0.070414,0.8480194,0.23460673,0.46996233,0.0
2020-06-22 11:44:44,11300,0.07050106,0.8479566,0.23443827,0.47014672,0.0
2020-06-22 11:44:44,11400,0.07050066,0.84788764,0.23436166,0.47030926,0.0
2020-06-22 11:44:44,11501,0.07054647,0.8477782,0.2342824,0.47053912,0.0
2020-06-22 11:44:44,11600,0.07058754,0.8477134,0.23413923,0.47072092,0.0
2020-06-22 11:44:44,11700,0.070663005,0.8476281,0.23402105,0.4709219,0.0
2020-06-22 11:44:44,11800,0.070762455,0.8475644,0.23386987,0.47109672,0.0
2020-06-22 11:44:44,11901,0.07078981,0.8475115,0.23377824,0.47123334,0.0
2020-06-22 11:44:44,12000,0.07081496,0.8474191,0.23370242,0.47143328,0.0
2020-06-22 11:44:45,12100,0.07088423,0.84732157,0.23358838,0.4716546,0.0
2020-06-22 11:44:45,12201,0.070840575,0.84727263,0.23351091,0.4717874,0.0
2020-06-22 11:44:45,12300,0.07088997,0.8472,0.23339525,0.47196767,0.0
2020-06-22 11:44:45,12400,0.07094993,0.84708434,0.23333287,0.47219694,0.0
2020-06-22 11:44:45,12500,0.07103878,0.8469941,0.23323864,0.47239205,0.0
2020-06-22 11:44:45,12601,0.07103588,0.8469447,0.23320085,0.47249973,0.0
2020-06-22 11:44:45,12701,0.071067914,0.8468639,0.2331265,0.47267625,0.0
2020-06-22 11:44:45,12800,0.07102591,0.84682417,0.2329835,0.4728243,0.0
2020-06-22 11:44:45,12900,0.070989795,0.84676653,0.23290013,0.472974,0.0
2020-06-22 11:44:45,13000,0.07104547,0.84673667,0.23280065,0.47306812,0.0
